INDUSTRY_CODE|DESCRIPTION
9313|activites des centres de culture physique
9319|autres activites liees au sport
9321|activites des parcs attractions et parcs a themes
9329|autres activites recreatives et de loisirs
9411|activites des organisations patronales et consulaires
9412|activites des organisations professionnelles
9420|activites des syndicats de salaries
9491|activites des organisations religieuses
9492|activites des organisations politiques
9499|activites des organisations associatives n.c.a.
9511|reparation ordinateurs et equipements peripheriques
9512|reparation equipements de communication
9521|reparation de produits electroniques grand public
9522|reparation appareils electromenagers et equipements pour la maison et
9523|recolte du liege
9524|reparation de meubles et equipements du foyer
9525|reparation articles horlogerie et de bijouterie
9529|reparation autres biens personnels et domestiques
9601|blanchisserie teinturerie
9602|coiffure et soins de beaute
9603|services funeraires
9604|activites thermales et de thalassotherapie
9605|bains et autres soins corporels
9609|autres services personnels n.c.a.
9700|activites des menages en tant qu'employeurs de personnel domestique
9810|activites indifferenciees des menages en tant que producteurs de biens
9820|activites indifferenciees des menages en tant que producteurs de servi
990|activites de soutien aux autres industries extractives
9900|activites des organisations et organismes extraterritoriaux
